name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Odense BK vs AGF,2025-08-18 17:00:00,AGF won after full-time.,Denmark Superliga,Odense BK,AGF,1.0,5.0,5.0,9.0,9.0,5.0,6.0,3.0,16.0,15.0,84.0,86.0,39.0,35.0,49.0,51.0,1.0,0.0,12.0,11.0,4.0,4.0,1.0,4.0,4.0,9.0,16.0,11.0,16.0,14.0,3.0,5.0,3.0,0.0,3.55,3.69,2.08,2.4,1.58,,,,,,,3.25,3.5,2.1,2.2,1.61,,,,,,,0.28,0.27,0.48,0.63,0.42,,,,,,,0.31,0.29,0.48,0.45,0.62,,,,,,,2025-2026
FC København vs Odense BK,2025-08-23 16:00:00,Game ended in draw.,Denmark Superliga,FC København,Odense BK,1.0,1.0,1.0,7.0,7.0,1.0,6.0,6.0,17.0,11.0,168.0,65.0,70.0,26.0,63.0,37.0,,,7.0,7.0,8.0,4.0,2.0,1.0,5.0,5.0,8.0,7.0,14.0,13.0,2.0,3.0,1.0,2.0,1.38,5.4,7.87,2.11,1.75,,,,,,,1.36,5.0,7.5,1.95,1.8,,,,,,,0.72,0.19,0.13,0.57,0.47,,,,,,,0.74,0.2,0.13,0.51,0.56,,,,,,,2025-2026
Fredericia vs Randers FC,2025-08-24 12:00:00,Fredericia won after full-time.,Denmark Superliga,Fredericia,Randers FC,1.0,0.0,6.0,7.0,3.0,11.0,0.0,8.0,7.0,18.0,83.0,128.0,34.0,97.0,43.0,57.0,,,5.0,14.0,2.0,4.0,2.0,0.0,15.0,5.0,4.0,11.0,10.0,8.0,2.0,3.0,1.0,3.0,3.16,3.85,2.19,2.66,1.48,,,,,,,3.0,3.6,2.15,2.5,1.5,,,,,,,0.32,0.26,0.46,0.68,0.38,,,,,,,0.33,0.28,0.47,0.4,0.67,,,,,,,2025-2026
FC Midtjylland vs Silkeborg IF,2025-08-24 12:00:00,FC Midtjylland won after full-time.,Denmark Superliga,FC Midtjylland,Silkeborg IF,4.0,2.0,3.0,9.0,6.0,4.0,5.0,3.0,21.0,11.0,119.0,76.0,64.0,37.0,43.0,57.0,,,9.0,6.0,11.0,5.0,2.0,0.0,5.0,6.0,16.0,8.0,11.0,11.0,3.0,8.0,2.0,1.0,1.64,4.42,4.93,2.81,1.44,,,,,,,1.61,4.33,4.5,2.62,1.44,,,,,,,0.61,0.23,0.2,0.69,0.36,,,,,,,0.62,0.23,0.22,0.38,0.69,,,,,,,2025-2026
Sønderjyske Fodbold vs Brøndby IF,2025-08-24 14:00:00,Sønderjyske Fodbold won after full-time.,Denmark Superliga,Sønderjyske Fodbold,Brøndby IF,2.0,0.0,11.0,2.0,1.0,11.0,4.0,10.0,9.0,23.0,70.0,122.0,27.0,101.0,35.0,65.0,,,3.0,14.0,6.0,9.0,1.0,0.0,11.0,6.0,7.0,8.0,11.0,10.0,3.0,1.0,2.0,3.0,3.92,3.86,1.92,2.28,1.64,,,,,,,3.9,3.8,1.85,2.2,1.61,,,,,,,0.26,0.26,0.52,0.61,0.44,,,,,,,0.26,0.26,0.54,0.45,0.62,,,,,,,2025-2026
AGF vs Vejle Boldklub,2025-08-24 16:00:00,AGF won after full-time.,Denmark Superliga,AGF,Vejle Boldklub,1.0,0.0,5.0,10.0,6.0,3.0,6.0,4.0,17.0,8.0,101.0,101.0,55.0,38.0,55.0,45.0,,,13.0,5.0,4.0,3.0,2.0,1.0,6.0,12.0,14.0,5.0,12.0,12.0,1.0,4.0,1.0,2.0,1.58,4.11,6.11,2.06,1.79,,,,,1.81,2.03,1.55,4.0,6.0,2.0,1.75,,,,,1.8,2.0,0.63,0.24,0.16,0.56,0.49,,,,,0.55,0.49,0.65,0.25,0.17,0.5,0.57,,,,,0.56,0.5,2025-2026
Nordsjælland vs Viborg FF,2025-08-25 17:00:00,Nordsjælland won after full-time.,Denmark Superliga,Nordsjælland,Viborg FF,1.0,0.0,12.0,9.0,3.0,3.0,6.0,7.0,10.0,10.0,115.0,78.0,50.0,40.0,60.0,40.0,,,6.0,5.0,4.0,5.0,0.0,2.0,7.0,7.0,8.0,7.0,13.0,14.0,3.0,2.0,2.0,3.0,1.88,3.99,3.92,2.76,1.45,,,,,,,1.85,3.9,3.75,2.5,1.5,,,,,,,0.53,0.25,0.26,0.69,0.36,,,,,,,0.54,0.26,0.27,0.4,0.67,,,,,,,2025-2026
Vejle Boldklub vs Viborg FF,2025-08-29 17:00:00,Viborg FF won after full-time.,Denmark Superliga,Vejle Boldklub,Viborg FF,1.0,2.0,12.0,9.0,5.0,6.0,4.0,5.0,9.0,16.0,91.0,82.0,40.0,45.0,55.0,45.0,,,5.0,13.0,4.0,4.0,2.0,1.0,9.0,9.0,8.0,14.0,16.0,12.0,6.0,2.0,1.0,1.0,2.61,3.44,2.79,2.21,1.68,,,,,1.91,1.97,2.7,3.5,2.5,2.05,1.7,,,,,1.85,1.95,0.38,0.29,0.36,0.6,0.45,,,,,0.52,0.51,0.37,0.29,0.4,0.49,0.59,,,,,0.54,0.51,2025-2026
AGF vs Fredericia,2025-08-31 12:00:00,AGF won after full-time.,Denmark Superliga,AGF,Fredericia,4.0,1.0,4.0,5.0,7.0,1.0,10.0,2.0,30.0,9.0,107.0,72.0,69.0,25.0,64.0,36.0,1.0,0.0,23.0,5.0,9.0,4.0,0.0,3.0,3.0,14.0,19.0,8.0,12.0,11.0,4.0,5.0,0.0,1.0,1.42,5.02,7.24,2.1,1.76,,,,,,,1.42,5.0,6.5,2.0,1.75,,,,,,,0.7,0.2,0.14,0.57,0.48,,,,,,,0.7,0.2,0.15,0.5,0.57,,,,,,,2025-2026
Silkeborg IF vs Sønderjyske Fodbold,2025-08-31 12:00:00,Sønderjyske Fodbold won after full-time.,Denmark Superliga,Silkeborg IF,Sønderjyske Fodbold,0.0,2.0,11.0,9.0,9.0,2.0,3.0,3.0,13.0,10.0,141.0,85.0,67.0,28.0,61.0,39.0,,,8.0,8.0,5.0,2.0,3.0,3.0,8.0,6.0,3.0,9.0,8.0,7.0,5.0,4.0,0.0,3.0,2.1,3.88,3.33,2.63,1.5,,,,,,,2.1,3.6,3.2,2.5,1.5,,,,,,,0.48,0.26,0.3,0.67,0.38,,,,,,,0.48,0.28,0.31,0.4,0.67,,,,,,,2025-2026
