name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Olympique Marseille vs Paris,2025-08-23 15:00:00,Olympique Marseille won after full-time.,France Ligue 1,Olympique Marseille,Paris,5.0,2.0,17.0,16.0,5.0,2.0,4.0,4.0,11.0,8.0,98.0,57.0,36.0,16.0,61.0,39.0,2.0,0.0,9.0,6.0,2.0,2.0,1.0,1.0,10.0,4.0,8.0,8.0,9.0,12.0,2.0,2.0,1.0,0.0,1.44,5.0,7.18,2.08,1.79,,,,,,,1.42,5.0,6.25,2.0,1.75,,,,,,,0.69,0.2,0.14,0.56,0.48,,,,,,,0.7,0.2,0.16,0.5,0.57,,,,,,,2025-2026
Nice vs Auxerre,2025-08-23 17:00:00,Nice won after full-time.,France Ligue 1,Nice,Auxerre,3.0,1.0,14.0,3.0,5.0,4.0,9.0,2.0,16.0,12.0,76.0,95.0,48.0,35.0,55.0,45.0,,,9.0,8.0,7.0,4.0,1.0,0.0,3.0,7.0,14.0,8.0,10.0,15.0,7.0,4.0,2.0,2.0,1.85,3.74,4.5,1.97,1.89,,,,,2.01,1.9,1.8,3.75,4.33,1.9,1.9,,,,,2.0,1.85,0.54,0.27,0.22,0.53,0.51,,,,,0.5,0.53,0.56,0.27,0.23,0.53,0.53,,,,,0.5,0.54,2025-2026
Olympique Lyonnais vs Metz,2025-08-23 19:05:00,Olympique Lyonnais won after full-time.,France Ligue 1,Olympique Lyonnais,Metz,3.0,0.0,5.0,15.0,4.0,3.0,3.0,3.0,13.0,11.0,88.0,95.0,28.0,42.0,53.0,47.0,,,9.0,7.0,4.0,4.0,1.0,3.0,4.0,6.0,10.0,3.0,13.0,15.0,2.0,5.0,0.0,2.0,1.4,5.28,7.64,2.09,1.78,,,,,,,1.4,5.0,7.0,2.0,1.75,,,,,,,0.71,0.19,0.13,0.56,0.48,,,,,,,0.71,0.2,0.14,0.5,0.57,,,,,,,2025-2026
Lorient vs Rennes,2025-08-24 13:00:00,Lorient won after full-time.,France Ligue 1,Lorient,Rennes,4.0,0.0,14.0,8.0,3.0,2.0,9.0,3.0,22.0,4.0,118.0,77.0,79.0,22.0,51.0,49.0,,,13.0,0.0,9.0,4.0,4.0,2.0,3.0,13.0,11.0,3.0,18.0,7.0,1.0,3.0,6.0,0.0,2.85,3.44,2.59,2.09,1.78,,,,,2.06,1.85,2.75,3.3,2.55,2.05,1.7,,,,,2.0,1.85,0.35,0.29,0.39,0.56,0.48,,,,,0.49,0.54,0.36,0.3,0.39,0.49,0.59,,,,,0.5,0.54,2025-2026
Le Havre vs Lens,2025-08-24 15:15:00,Lens won after full-time.,France Ligue 1,Le Havre,Lens,1.0,2.0,16.0,13.0,7.0,0.0,7.0,2.0,18.0,6.0,120.0,68.0,67.0,25.0,57.0,43.0,0.0,1.0,11.0,4.0,7.0,2.0,2.0,0.0,7.0,12.0,9.0,4.0,17.0,16.0,1.0,5.0,3.0,1.0,4.42,3.69,1.88,2.19,1.71,,,,,1.86,2.05,4.2,3.6,1.85,2.05,1.7,,,,,1.82,2.02,0.23,0.27,0.53,0.58,0.46,,,,,0.54,0.49,0.24,0.28,0.54,0.49,0.59,,,,,0.55,0.5,2025-2026
Strasbourg vs Nantes,2025-08-24 15:15:00,Strasbourg won after full-time.,France Ligue 1,Strasbourg,Nantes,1.0,0.0,6.0,15.0,7.0,6.0,6.0,2.0,15.0,9.0,105.0,76.0,59.0,31.0,49.0,51.0,,,9.0,7.0,6.0,2.0,4.0,2.0,3.0,7.0,3.0,1.0,11.0,9.0,2.0,3.0,2.0,2.0,1.81,3.63,4.96,1.94,1.92,,,,,2.06,1.85,1.75,3.5,5.0,1.95,1.8,,,,,2.05,1.8,0.55,0.28,0.2,0.52,0.52,,,,,0.49,0.54,0.57,0.29,0.2,0.51,0.56,,,,,0.49,0.56,2025-2026
Toulouse vs Brest,2025-08-24 15:15:00,Toulouse won after full-time.,France Ligue 1,Toulouse,Brest,2.0,0.0,7.0,11.0,3.0,9.0,3.0,6.0,6.0,16.0,85.0,103.0,38.0,50.0,47.0,53.0,,,6.0,10.0,0.0,6.0,3.0,2.0,9.0,2.0,6.0,3.0,14.0,10.0,2.0,1.0,0.0,1.0,2.3,3.4,3.36,2.08,1.78,,,,,2.05,1.86,2.2,3.4,3.25,1.95,1.8,,,,,2.02,1.82,0.43,0.29,0.3,0.56,0.48,,,,,0.49,0.54,0.45,0.29,0.31,0.51,0.56,,,,,0.5,0.55,2025-2026
LOSC Lille vs Monaco,2025-08-24 18:45:00,LOSC Lille won after full-time.,France Ligue 1,LOSC Lille,Monaco,1.0,0.0,13.0,6.0,8.0,3.0,13.0,4.0,18.0,6.0,109.0,86.0,54.0,44.0,50.0,50.0,1.0,0.0,10.0,5.0,8.0,1.0,2.0,0.0,5.0,13.0,11.0,6.0,7.0,14.0,2.0,0.0,1.0,2.0,3.34,3.65,2.2,2.46,1.57,,,,,,,3.2,3.7,2.15,2.25,1.57,,,,,1.87,1.97,0.3,0.27,0.45,0.64,0.41,,,,,,,0.31,0.27,0.47,0.44,0.64,,,,,0.53,0.51,2025-2026
Lens vs Brest,2025-08-29 18:45:00,Lens won after full-time.,France Ligue 1,Lens,Brest,3.0,1.0,10.0,14.0,15.0,1.0,9.0,2.0,30.0,9.0,61.0,65.0,41.0,21.0,68.0,32.0,1.0,0.0,26.0,7.0,4.0,2.0,2.0,0.0,5.0,10.0,17.0,4.0,7.0,12.0,1.0,7.0,1.0,3.0,1.98,3.69,3.94,2.25,1.68,,,,,1.84,2.07,1.9,3.6,3.75,2.1,1.66,,,,,1.82,2.02,0.51,0.27,0.25,0.6,0.44,,,,,0.54,0.48,0.53,0.28,0.27,0.48,0.6,,,,,0.55,0.5,2025-2026
Lorient vs LOSC Lille,2025-08-30 15:00:00,LOSC Lille won after full-time.,France Ligue 1,Lorient,LOSC Lille,1.0,7.0,7.0,6.0,3.0,8.0,3.0,3.0,6.0,20.0,76.0,117.0,28.0,55.0,41.0,59.0,1.0,0.0,5.0,15.0,1.0,5.0,3.0,2.0,8.0,3.0,2.0,12.0,14.0,18.0,5.0,1.0,3.0,3.0,3.41,3.59,2.18,2.16,1.73,,,,,1.92,1.98,3.3,3.4,2.15,2.05,1.7,,,,,1.9,1.95,0.29,0.28,0.46,0.58,0.46,,,,,0.52,0.51,0.3,0.29,0.47,0.49,0.59,,,,,0.53,0.51,2025-2026
